"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x606377164","x1129208341740359681",2019-05-17 02:13:43,"KateBender5","Maybe perhaps my favorite picture of #ELGL19 or all time w/ the @KCMO (present and past) girls @KateBender5 &amp; @dinberga07 <U+0001F4F8>:@anthonysanti https://t.co/Hz0cn2Dnyz","Twitter for iPhone",144,,,,FALSE,TRUE,0,1,"ELGL19",,,,,,,,,,,,,"x2319908305 x41657673 x606377164 x26829263","SarahKCMO KCMO KateBender5 dinberga07","en",,,,,,,,,,,,,,,,"x1129208163184652294","Maybe perhaps my favorite picture of #ELGL19 or all time w/ the @KCMO (present and past) girls @KateBender5 &amp; @dinberga07 <U+0001F4F8>:@anthonysanti https://t.co/Hz0cn2Dnyz",2019-05-17 02:13:00,"Twitter for iPhone",9,1,"x2319908305","SarahKCMO","Sarah Marie Martin",1152,489,3137,"Kansas City, MO","Lover of #localgov, data, apps where people do things so you don’t have to, spin class & hip hop music. Public Health <U+0001F4AA><U+0001F3FE>, Policy PhD & Director @MySidewalkHQ",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KateBender5/status/1129208341740359681","Kate Bender","Kansas City, MO","Dedicated to using data to make @KCMO great. Love cities, history, maps, and libraries. Tweets are my own.",,FALSE,813,291,19,2207,7967,2012-06-12 14:49:46,FALSE,,,"en","https://pbs.twimg.com/profile_banners/606377164/1546057458","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1078868671156678661/EIjJqOPD_normal.jpg"
"x606377164","x1129026379679506432",2019-05-16 14:10:39,"KateBender5","And then @hanaschank brings all the truth in her talk about innovation in government: not all success looks the same, not all team models are the same (but all need leadership support), tech is the easy part, and it’s hard. All true for @DataKCMO #ELGL19","Twitter for iPhone",254,,,,FALSE,FALSE,10,1,"ELGL19",,,,,,,,,,,,,"x236418563 x2609672737","hanaschank DataKCMO","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KateBender5/status/1129026379679506432","Kate Bender","Kansas City, MO","Dedicated to using data to make @KCMO great. Love cities, history, maps, and libraries. Tweets are my own.",,FALSE,813,291,19,2207,7967,2012-06-12 14:49:46,FALSE,,,"en","https://pbs.twimg.com/profile_banners/606377164/1546057458","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1078868671156678661/EIjJqOPD_normal.jpg"
"x606377164","x1129011464981950467",2019-05-16 13:11:23,"KateBender5","@CityofDurhamNC Mayor Steve Schewel says in his keynote that the essential challenge is to make Durham a city for all. City’s vision statement includes racial and economic justice. #ELGL19","Twitter for iPhone",188,,"x545202357","CityofDurhamNC",FALSE,FALSE,9,1,"ELGL19",,,,,,,,,,,,,"x545202357","CityofDurhamNC","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KateBender5/status/1129011464981950467","Kate Bender","Kansas City, MO","Dedicated to using data to make @KCMO great. Love cities, history, maps, and libraries. Tweets are my own.",,FALSE,813,291,19,2207,7967,2012-06-12 14:49:46,FALSE,,,"en","https://pbs.twimg.com/profile_banners/606377164/1546057458","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1078868671156678661/EIjJqOPD_normal.jpg"
"x606377164","x1129089985246842880",2019-05-16 18:23:24,"KateBender5","Deceptively simple but elegant strategic planning/budget/performance/evaluation model from Monica Allen with Mecklenberg County #ELGL19 cc: @DataKCMO @KCMOBudget https://t.co/AX7iKyK6NU","Twitter for iPhone",161,,,,FALSE,FALSE,7,2,"ELGL19",,,,,"http://pbs.twimg.com/media/D6tVWi5XoAEnD_Z.jpg","https://t.co/AX7iKyK6NU","https://twitter.com/KateBender5/status/1129089985246842880/photo/1","photo","http://pbs.twimg.com/media/D6tVWi5XoAEnD_Z.jpg","https://t.co/AX7iKyK6NU","https://twitter.com/KateBender5/status/1129089985246842880/photo/1",,"x2609672737 x3690091762","DataKCMO KCMOBudget","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KateBender5/status/1129089985246842880","Kate Bender","Kansas City, MO","Dedicated to using data to make @KCMO great. Love cities, history, maps, and libraries. Tweets are my own.",,FALSE,813,291,19,2207,7967,2012-06-12 14:49:46,FALSE,,,"en","https://pbs.twimg.com/profile_banners/606377164/1546057458","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1078868671156678661/EIjJqOPD_normal.jpg"
"x1129059964717293569","x1129208332986851329",2019-05-17 02:13:40,"RandomAndal","@novalsi Apparently local government necessitates a twitter account. I will gladly oblige <U+0001F602> #ELGL19 made me see the social media light <U+0001F64C><U+0001F3FC><U+0001F64C><U+0001F3FC><U+0001F64C><U+0001F3FC>","Twitter for iPhone",132,"x1129206116867608576","x33993935","novalsi",FALSE,FALSE,0,0,"ELGL19",,,,,,,,,,,,,"x33993935","novalsi","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RandomAndal/status/1129208332986851329","Caity Belta","Denver, CO","Livin’ the dream in the Centennial state. Wearer of many <U+0001F9E2><U+0001F3A9><U+0001F452><U+0001F451> Meowther/minion of two <U+0001F63B><U+0001F638>","https://t.co/hGk9W5x19V",FALSE,2,18,0,1,2,2019-05-16 16:24:07,FALSE,"https://t.co/hGk9W5x19V","https://www.linkedin.com/in/cbelta","en","https://pbs.twimg.com/profile_banners/1129059964717293569/1558037971",,"http://pbs.twimg.com/profile_images/1129066399744372736/J_0VWleZ_normal.jpg"
"x2319908305","x1129037438473703426",2019-05-16 14:54:36,"SarahKCMO","Other than #BullDurham<U+0001F402><U+26BE><U+FE0F>seemingly on a loop on TNT, we didn't know too much about @CityofDurhamNC before @KauffmanNick &amp; @SarahKCMO headed to #ELGL19. Lucky for us, we're a quick study.<U+0001F609>We see you now Durham (&amp; all your millennials!) &amp; you look great! https://t.co/HGQ1VAMulY","Twitter for iPhone",144,,,,FALSE,TRUE,0,2,"BullDurham",,,,,,,,,,,,,"x172739535 x545202357 x962753521","mysidewalkHQ CityofDurhamNC KauffmanNick","en",,,,,,,,,,,,,,,,"x1129037224463482880","Other than #BullDurham<U+0001F402><U+26BE><U+FE0F>seemingly on a loop on TNT, we didn't know too much about @CityofDurhamNC before @KauffmanNick &amp; @SarahKCMO headed to #ELGL19. Lucky for us, we're a quick study.<U+0001F609>We see you now Durham (&amp; all your millennials!) &amp; you look great! https://t.co/HGQ1VAMulY",2019-05-16 14:53:45,"Twitter Web Client",3,2,"x172739535","mysidewalkHQ","mySidewalk",4451,1371,6262,"Kansas City, MO","mySidewalk is a #city intelligence platform. Track, #analyze, & communicate progress on #citywide goals. You work hard for your #data, what's it doing for you?",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SarahKCMO/status/1129037438473703426","Sarah Marie Martin","Kansas City, MO","Lover of #localgov, data, apps where people do things so you don’t have to, spin class & hip hop music. Public Health <U+0001F4AA><U+0001F3FE>, Policy PhD & Director @MySidewalkHQ","https://t.co/nIudpR6JUP",FALSE,1152,489,25,3137,9223,2014-01-30 23:49:26,FALSE,"https://t.co/nIudpR6JUP","https://elgl.org/2018-chris-traeger-award-21-to-30/","en","https://pbs.twimg.com/profile_banners/2319908305/1505348487","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/908123440619671552/AE-fIkUx_normal.jpg"
"x2319908305","x1127376829239758850",2019-05-12 00:55:56,"SarahKCMO","@TheBaconDiaries @WhiteClaw Let’s workout together at #ELGL19 and then drink spiked seltzer","Twitter for iPhone",63,"x1126942775570681857","x238222844","TheBaconDiaries",FALSE,FALSE,3,0,"ELGL19",,,,,,,,,,,,,"x238222844 x1009851134071189504","TheBaconDiaries WhiteClaw","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SarahKCMO/status/1127376829239758850","Sarah Marie Martin","Kansas City, MO","Lover of #localgov, data, apps where people do things so you don’t have to, spin class & hip hop music. Public Health <U+0001F4AA><U+0001F3FE>, Policy PhD & Director @MySidewalkHQ","https://t.co/nIudpR6JUP",FALSE,1152,489,25,3137,9223,2014-01-30 23:49:26,FALSE,"https://t.co/nIudpR6JUP","https://elgl.org/2018-chris-traeger-award-21-to-30/","en","https://pbs.twimg.com/profile_banners/2319908305/1505348487","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/908123440619671552/AE-fIkUx_normal.jpg"
"x2319908305","x1128286189734236161",2019-05-14 13:09:24,"SarahKCMO","It’s true. We will give you all the reports. I can be bribed w/ @DurhamBulls hot dogs <U+0001F32D> 

See you tomorrow #ELGL19 lovelies! https://t.co/Bqh4F8pxNO","Twitter for iPhone",124,,,,TRUE,FALSE,9,0,"ELGL19",,"twitter.com/mysidewalkhq/s…","https://t.co/Bqh4F8pxNO","https://twitter.com/mysidewalkhq/status/1128285703140458497",,,,,,,,,"x20991021","DurhamBulls","en","x1128285703140458497","We are sending two of our best and brightest @KauffmanNick &amp; @SarahKCMO to #ELGL19 in @DurhamNC tomorrow and they are PUMPED 

If you see them, say <U+0001F44B><U+0001F3FE> and convince them to give you a free report like this one <U+0001F447><U+0001F3FD>(knowing them they’ll likely give you 2) 

https://t.co/v8NEmPT2yV",2019-05-14 13:07:28,"Twitter for iPhone",10,2,"x172739535","mysidewalkHQ","mySidewalk",4451,1371,6262,"Kansas City, MO","mySidewalk is a #city intelligence platform. Track, #analyze, & communicate progress on #citywide goals. You work hard for your #data, what's it doing for you?",TRUE,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/9a974dfc8efb32a0.json","Kansas City","Kansas City, MO","city","United States","US","NA NA","NA NA","-94.733122 -94.3854414 -94.3854414 -94.733122 38.868002 38.868002 39.332095 39.332095","https://twitter.com/SarahKCMO/status/1128286189734236161","Sarah Marie Martin","Kansas City, MO","Lover of #localgov, data, apps where people do things so you don’t have to, spin class & hip hop music. Public Health <U+0001F4AA><U+0001F3FE>, Policy PhD & Director @MySidewalkHQ","https://t.co/nIudpR6JUP",FALSE,1152,489,25,3137,9223,2014-01-30 23:49:26,FALSE,"https://t.co/nIudpR6JUP","https://elgl.org/2018-chris-traeger-award-21-to-30/","en","https://pbs.twimg.com/profile_banners/2319908305/1505348487","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/908123440619671552/AE-fIkUx_normal.jpg"
"x2319908305","x1129185174112145408",2019-05-17 00:41:39,"SarahKCMO","Chillin in the @GovLovePodcast @Public_Input creeper van at #ELGL19 talking about our love of #localgov and <U+0001F32E><U+0001F32E><U+0001F32E> https://t.co/w24qrz1uYM","Twitter for iPhone",111,,,,FALSE,FALSE,6,0,"ELGL19 localgov",,,,,"http://pbs.twimg.com/media/D6ur7KvW0AAIJdH.jpg","https://t.co/w24qrz1uYM","https://twitter.com/SarahKCMO/status/1129185174112145408/photo/1","photo","http://pbs.twimg.com/media/D6ur7KvW0AAIJdH.jpg http://pbs.twimg.com/media/D6ur7KtXsAAcrCw.jpg","https://t.co/w24qrz1uYM https://t.co/w24qrz1uYM","https://twitter.com/SarahKCMO/status/1129185174112145408/photo/1 https://twitter.com/SarahKCMO/status/1129185174112145408/photo/1",,"x2895440583 x852172373621170176","GovLovePodcast Public_Input","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/bced47a0c99c71d0.json","Durham","Durham, NC","city","United States","US","NA NA","NA NA","-79.0075886 -78.783292 -78.783292 -79.0075886 35.866334 35.866334 36.115631 36.115631","https://twitter.com/SarahKCMO/status/1129185174112145408","Sarah Marie Martin","Kansas City, MO","Lover of #localgov, data, apps where people do things so you don’t have to, spin class & hip hop music. Public Health <U+0001F4AA><U+0001F3FE>, Policy PhD & Director @MySidewalkHQ","https://t.co/nIudpR6JUP",FALSE,1152,489,25,3137,9223,2014-01-30 23:49:26,FALSE,"https://t.co/nIudpR6JUP","https://elgl.org/2018-chris-traeger-award-21-to-30/","en","https://pbs.twimg.com/profile_banners/2319908305/1505348487","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/908123440619671552/AE-fIkUx_normal.jpg"
"x2319908305","x1129167474237345793",2019-05-16 23:31:19,"SarahKCMO","You know you’re at #ELGL19 when you fist bump someone because you both remember exact Commodore 64 commands from childhood. Nerds from the jump. <U+0001F91C><U+0001F3FD><U+0001F91B><U+0001F3FC> https://t.co/M1VlhLN6KJ","Twitter for iPhone",149,,,,FALSE,FALSE,9,1,"ELGL19",,,,,"http://pbs.twimg.com/media/D6ub1OUXkAAusrV.jpg","https://t.co/M1VlhLN6KJ","https://twitter.com/SarahKCMO/status/1129167474237345793/photo/1","photo","http://pbs.twimg.com/media/D6ub1OUXkAAusrV.jpg","https://t.co/M1VlhLN6KJ","https://twitter.com/SarahKCMO/status/1129167474237345793/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/bced47a0c99c71d0.json","Durham","Durham, NC","city","United States","US","NA NA","NA NA","-79.0075886 -78.783292 -78.783292 -79.0075886 35.866334 35.866334 36.115631 36.115631","https://twitter.com/SarahKCMO/status/1129167474237345793","Sarah Marie Martin","Kansas City, MO","Lover of #localgov, data, apps where people do things so you don’t have to, spin class & hip hop music. Public Health <U+0001F4AA><U+0001F3FE>, Policy PhD & Director @MySidewalkHQ","https://t.co/nIudpR6JUP",FALSE,1152,489,25,3137,9223,2014-01-30 23:49:26,FALSE,"https://t.co/nIudpR6JUP","https://elgl.org/2018-chris-traeger-award-21-to-30/","en","https://pbs.twimg.com/profile_banners/2319908305/1505348487","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/908123440619671552/AE-fIkUx_normal.jpg"
